GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_688	10	18	24	22	21
ID_689	8	28	20	21	28
ID_690	10	21	19	9	13
ID_691	4	9	13	11	24
ID_692	1	11	13	9	20
ID_693	8	22	28	20	28
ID_694	11	15	26	24	17
ID_695	16	19	17	27	43
ID_696	12	42	26	17	27
ID_697	23	33	55	44	46
ID_698	21	45	43	30	54
ID_699	16	39	51	39	37
ID_700	15	39	44	15	50
ID_701	0	0	0	0	0
ID_702	0	0	0	0	0
ID_703	25	75	68	53	74
ID_704	64	100	108	88	98
ID_705	31	79	68	46	71
ID_706	9	23	23	24	26
ID_707	8	27	15	20	29
ID_708	0	0	0	0	0
ID_709	8	16	18	12	16
ID_710	15	31	26	24	21
ID_711	8	20	31	14	28
ID_712	7	18	24	12	30
ID_713	13	19	26	18	23
ID_714	3	8	19	15	23
ID_715	10	25	35	30	38
ID_716	4	5	26	22	17
ID_717	12	38	45	28	37
ID_718	21	35	47	28	56
ID_719	15	30	20	15	23
ID_720	4	26	22	20	12
ID_721	13	23	23	12	33
ID_722	8	16	26	21	31
ID_723	24	28	35	29	47
ID_724	0	0	0	0	0
ID_725	5	11	18	19	22
ID_726	9	32	26	14	27
ID_727	24	38	46	26	42
ID_728	10	18	26	17	25
ID_729	14	26	38	23	26
ID_730	7	30	28	19	42
ID_731	14	27	18	18	24
ID_732	3	5	5	4	18
ID_733	7	18	25	9	15
ID_734	12	36	50	25	35
ID_735	13	30	28	23	36
ID_736	10	41	21	16	31
ID_737	12	33	27	13	17
ID_738	81	186	232	144	166
ID_739	28	71	68	43	48
ID_740	65	146	168	118	171
ID_741	92	183	220	145	211
ID_742	19	45	19	21	34
ID_743	27	52	48	36	23
ID_744	11	21	19	6	27
ID_745	6	25	26	11	27
ID_746	9	35	28	18	16
ID_747	25	43	50	52	54
ID_748	17	32	35	26	30
ID_749	12	25	32	18	30
ID_750	16	53	62	47	54
ID_751	14	49	50	29	37
ID_752	17	53	40	25	25
ID_753	6	24	16	9	15
ID_754	21	38	33	30	55
ID_755	7	18	17	13	28
ID_756	48	92	115	75	94
ID_757	9	14	19	14	33
ID_758	9	22	42	17	24
ID_759	34	66	63	54	64
ID_760	31	52	52	37	72
ID_761	34	45	44	37	38
ID_762	19	43	41	31	45
ID_763	23	57	43	48	76
ID_764	16	33	33	30	43
ID_765	51	107	119	88	170
ID_766	13	29	26	9	16
ID_767	21	63	75	15	63
ID_768	13	33	37	17	13
ID_769	16	30	31	18	38
ID_770	13	47	33	28	30
ID_771	12	27	37	25	25
ID_772	11	22	27	23	38
ID_773	7	27	21	17	16
ID_774	31	46	71	50	95
ID_775	15	50	31	26	23
ID_776	14	52	49	27	44
ID_777	14	34	25	4	13
ID_778	33	70	48	60	67
ID_779	34	69	99	70	103
ID_780	11	29	17	10	14
ID_781	68	175	135	101	142
ID_782	23	48	51	40	49
ID_783	9	24	30	19	18
ID_784	4	16	21	9	26
ID_785	15	48	45	27	36
ID_786	22	33	28	24	14
ID_787	21	67	55	36	41
ID_788	90	211	192	118	168
ID_789	11	27	27	8	29
ID_790	14	14	8	12	21
ID_791	11	33	24	19	29
ID_792	5	24	13	17	64
ID_793	14	28	35	30	41
