Name	Description	Control	Treatment
MYZAP	15987	0.975982310913331	1.0221902120734
MZF1-AS1	15990	9.27846536484867	9.68941065591877
NAALADL2-AS3	16020	0.487254109770885	0.0
NAGPA-AS1	16040	4.38528698793797	4.07687398230552
NAPSB	16068	0.487254109770885	0.511095106036702
NCAN	16123	0.975982310913331	1.01981283887579
NCK1-AS1	16142	15.1284628648424	14.7765879843096
NCKAP5	16146	0.487254109770885	0.0
NCR1	16163	8.29658668844909	8.15612533780866
NDUFAF4P1	16211	6.83482435913644	6.6275947660938
NEBL	16244	0.975982310913331	0.508717732839083
NEDD8-MDP1	16255	0.488728201142446	0.0
NEK5	16271	6.83187617639332	7.14344461852574
NES	16287	7.81228076142133	8.15374796461105
NEUROG3	16307	0.97450821954177	0.511095106036702
NF1P2	16311	0.488728201142446	0.0
NFASC	16314	2.92794693273999	3.05943851662736
NFIA-AS1	16326	0.487254109770885	0.0
NFYC-AS1	16348	63.4314797525087	63.2165091443106
NGB	16349	0.488728201142446	0.0
NLGN1-AS1	16430	0.488728201142446	0.508717732839083
NLRP14	16446	1.95343871319822	2.04438042414681
NLRP7	16452	0.977456402284892	0.508717732839083
NMNAT2	16471	0.487254109770885	0.0
NOL3	16500	4.39265744479577	4.07687398230552
NOS1AP	16522	9.2696208166193	9.17356080348683
NPHS2	16568	0.488728201142446	0.0
NPIPB15	16576	0.487254109770885	0.0
NPL	16583	93.2144181947667	93.2807802189665
NPTXR	16605	5.86031613959467	6.12363177964995
NR3C2	16636	20.9946753699233	21.4113148699963
NR5A1	16640	0.488728201142446	0.511095106036702
NRIR	16668	0.488728201142446	0.0
NRN1L	16673	0.975982310913331	1.0221902120734
NRTN	16681	3.41667513388244	3.05706114342974
NRXN3	16684	0.977456402284892	1.01743546567817
NSRP1	16698	123.961546216966	123.898939117216
NSUN5P2	16704	6.34019979250775	6.12363177964995
NT5C1B-RDH14	16710	0.487254109770885	0.0
NTRK3	16735	2.43921873159755	2.54358866419542
NUCB1-AS1	16747	0.488728201142446	0.508717732839083
NUDT11	16756	31.2373303147128	31.6118206319517
NUTM2F	16823	0.488728201142446	0.0
