GeneID	logFC	logCPM	F	PValue	FDR
ID_25983	-0.00406562275933093	5.30595981379355	0.000226520133465341	0.987991927450733	1
ID_17518	0.00585569577812318	4.15431750771026	0.000226023462751635	0.988005100483057	1
ID_9245	-0.00523419435764166	4.37677406581357	0.000219606658220115	0.988176579085722	1
ID_8239	0.00299199382744837	6.02109645921016	0.000217140303390469	0.988243154859015	1
ID_19297	-0.0032287370560808	5.82989172566111	0.000214874334535575	0.988304655634102	1
ID_1424	0.0084614498985275	3.49189002375144	0.000214845605175722	0.988305437456009	1
ID_5317	0.0044544305119039	4.88485837363103	0.00021449025493922	0.988315112049928	1
ID_22418	0.00447088564004126	4.71237406662779	0.000210534517213226	0.988423355149527	1
ID_11733	-0.00367029082894401	5.41841972384982	0.000208545655418683	0.988478161775361	1
ID_9806	-0.00843821668034481	3.38170483998769	0.000204899643344359	0.988579317322271	1
ID_19310	0.00471948654639474	4.58195746563795	0.000202770582444371	0.988638802957228	1
ID_7876	-0.00442715645136858	4.62774772268595	0.000202148637377843	0.988656238894254	1
ID_10433	0.00358399984042313	5.50644918655777	0.000200609229427351	0.988699511203215	1
ID_10020	0.00441959214523287	4.70925565463659	0.000200377174783522	0.988706048575498	1
ID_5080	-0.00496919425350144	4.25360188518183	0.000195803825579546	0.988835668886124	1
ID_4971	0.00726294519820869	3.64410545027792	0.000195663620005412	0.988839666457749	1
ID_2393	-0.00446411077990067	4.67654134984264	0.000195425765344548	0.988846451499205	1
ID_3374	-0.00410723022506445	4.9897681975281	0.000195066360627597	0.988856711716931	1
ID_25152	0.003735416434009	5.24493414356248	0.00019170740667393	0.988953075433215	1
ID_23462	0.00431091035365577	4.71183624032099	0.000187400885015316	0.989077839628662	1
ID_22349	0.00348550756123332	5.44747379152277	0.000186433764273582	0.989106057353379	1
ID_18005	0.00437583544318078	4.60816521655546	0.000186278698019037	0.989110588531956	1
ID_25734	-0.00528428175034954	4.08391513917435	0.000179448692976504	0.989312073571922	1
ID_21996	0.00213010308543966	6.91160013978198	0.000179275689116087	0.989317226543019	1
ID_23487	0.00283172360424993	5.86277101332833	0.000178925542553081	0.989327663377282	1
ID_26914	-0.00540822585790884	4.04130398889226	0.000177990395602402	0.98935558751737	1
ID_27370	0.00588021272745345	3.76768099722063	0.000177020032357704	0.98938464091579	1
ID_8906	-0.00501744256140608	4.08227610008096	0.000176687897670362	0.989394623449064	1
ID_9900	0.00358053894431868	5.36132822736148	0.000173485501347476	0.989491197163952	1
ID_11987	0.00527759230279054	3.98753109960739	0.000171205956657255	0.989560412519931	1
ID_23131	0.00225016708673816	6.56456138387474	0.000170691582750172	0.989576105854729	1
ID_12141	-0.00262776795486238	6.05781232049697	0.000168664067601474	0.989638196039806	1
ID_4653	0.0040481898256139	4.71044128616961	0.000165789191007128	0.989726879062257	1
ID_18838	-0.00251746458587009	6.12165250103226	0.000162027050085127	0.989844102021605	1
